,Artist,Title,Mood
658,The Beatles,Octopus's Garden,relaxed
659,Moby,Study War,angry
660,Neil Young,Sign Of Love,happy
661,John Lennon & The Plastic Ono Band,Power To The People,happy
662,Iron Fire,Still Alive,angry
663,The Sword,Freya,sad
664,Inoj,Time After Time,sad
665,Reba,Strange,relaxed
666,Tanya Tucker,Some Kind Of Trouble,angry
667,Tanya Tucker,Down To My Last Teardrop,relaxed
668,Shadows Fall,Still I Rise,angry
669,Backstreet Boys,Quit Playing Games ,happy
670,Peter Cetera,Glory Of Love,happy
671,Blessid Union Of Souls,I Believe,happy
672,The Gap Band,You Dropped A Bomb On Me,angry
673,Debbie Gibson,Shake Your Love,happy
674,Incubus,Love Hurts,happy
675,The Psychedelic Furs,Heaven,relaxed
676,Dinosaur Jr.,Feel The Pain,angry
677,Echo & The Bunnymen,People Are Strange,sad
678,Iggy Pop,Lust For Life,happy
679,Crocodiles,Sleep Forever,relaxed
680,Nirvana,Sliver,relaxed
681,Ashanti,The Way That I Love You,happy
682,Maze,Southern Girl ,relaxed
683,Carole King,Will You Love Me Tomorrow?,happy
684,Mint Condition,You Don't Have To Hurt No More,angry
685,Robin Thicke,The Sweetest Love,happy
686,Eliane Elias,Movin' Me On,relaxed
687,Interpol,Barricade,sad
688,Rob Zombie,Mars Needs Women,angry
689,Rascal Flatts,I Won't Let Go,angry
690,The Beatles,Golden Slumbers,relaxed
691,Spirit,Fresh Garbage,sad
692,Vanilla Fudge,You Keep Me Hangin' On,happy
693,The Sylvers,Boogie Fever,sad
694,George Harrison,What Is Life,happy
695,Nicolette Larson,Lotta Love,happy
696,Lindsey Buckingham,Trouble,angry
697,U2,Angel Of Harlem,relaxed
698,Grand Funk Railroad,Bad Time,happy
699,Haddaway,What Is Love,angry
700,The S.O.S. Band,Take Your Time ,relaxed
701,Peter Frampton,I'm In You,happy
702,Operation Ivy,Unity,angry
703,Papa Roach,Burn,angry
704,Apocalyptica,Bring Them To Light ,angry
705,Kopek,Love Is Dead,angry
706,Peaches & Herb,Close Your Eyes,happy
707,The Temptations,You're My Everything,relaxed
708,GQ,I Do Love You,happy
709,Chalino Sanchez,El Crimen De Culiacan,sad
710,Shedaisy,Come Home Soon,relaxed
711,Garth Brooks,Standing Outside The Fire,angry
712,Lee Ann Womack,I May Hate Myself In The Morning,angry
713,Nat King Cole,L-O-V-E,happy
714,Jose Feliciano,Light My Fire,angry
715,DeBarge,All This Love,happy
716,Norah Jones,My Blue Heaven,relaxed
717,Elmore James,The Sky Is Crying,relaxed
718,Elvis Costello,One Bell Ringing,sad
719,Nicki Minaj,Save Me,relaxed
720,Brandon Heath,Your Love,happy
721,Michael W. Smith,Awesome God,happy
722,Jeremy Riddle,Bless His Name,relaxed
723,"Phillips, Craig & Dean",Because I'm Forgiven,happy
724,Sarah Sadler,Beautiful,happy
725,Juan Gabriel,Abrazame Muy Fuerte,sad
726,Chalino Sanchez,Baraja De Oro,sad
727,Sam Cooke,Trouble Blues,angry
728,Salvador,You Are There,happy
729,Billy Ocean,Love Is Forever,happy
730,Seal,I'm Still In Love With You,happy
731,Intocable,Contra Viento Y Marea,sad
732,Sonny James,Young Love,happy
733,Dolly Parton,Yellow Roses,relaxed
734,Innerpartysystem,American Trash,sad
735,Edward Sharpe & The Magnetic Zeros,Home,relaxed
736,Tenacious D,The Metal,sad
737,The Heartbeats,A Thousand Miles Away,relaxed
738,Surface,Happy,happy
739,The Gap Band,Yearning For Your Love,happy
740,War,Outlaw,angry
741,Dinora Y La Juventud,A Puro Dolor,sad
742,Lhasa,De Cara A La Pared,sad
743,Duncan Dhu,En Algun Lugar,sad
744,Miguel Aceves Mejia,Rogaciano,sad
745,Audioslave,Original Fire,angry
746,Chickenfoot,Sexy Little Thing,happy
747,Veruca Salt,Seether,angry
748,Corinne Bailey Rae,Is This Love,happy
749,Jack White,Wayfaring Stranger,relaxed
750,Cross Canadian Ragweed,Fightin' For,angry
751,Janie Frickie,It Ain't Easy Bein' Easy,relaxed
752,The Statler Brothers,Bed Of Roses,relaxed
753,Dolly Parton,But You Know I Love You,happy
754,Marilyn Manson,The Nobodies,sad
755,Ozzy Osbourne,Killer Of Giants,angry
756,L.A. Guns,Never Enough,relaxed
757,Iron Maiden,Iron Maiden,sad
758,Honeymoon Suite,New Girl Now,relaxed
759,Stevie Ray Vaughan & Double Trouble,Willie The Wimp ,sad
760,Faith Evans,Love Like This,happy
761,Elvis Presley,Jailhouse Rock,sad
762,Al Martino,I Love You Because,happy
763,George McCrae,Rock Your Baby,relaxed
764,Bruce Springsteen,Save My Love,relaxed
765,Dolores O'Riordan,The Journey,relaxed
766,She & Him,I Should Have Known Better,happy
767,Ian Dury & The Blockheads,Hit Me With Your Rhythm Stick,angry
768,The Red Hot Chili Peppers,Behind The Sun,relaxed
769,J.D. Souther,You're Only Lonely,sad
770,Freelance Whales,Starring,angry
771,The Cure,Fascination Street,sad
772,Jack Johnson,Wasting Time,sad
773,The Beatles,Thank You Girl ,relaxed
774,Electronic,Getting Away With It,happy
775,Chris Tomlin,Our God,happy
776,Robbie Seay Band,Song of Hope,happy
777,Hezekiah Walker & The Love Fellowship Crusade Choir,Grateful ,relaxed
778,Martha Munizzi,Invincible God,happy
779,Vickie Winans,The Rainbow,relaxed
780,The Shirelles,Will You Love Me Tomorrow,happy
781,Dianne Reeves,Afro Blue,relaxed
782,Black Label Society,Bored To Tears,sad
783,George Michael,I Want Your Sex,happy
784,Slayer,War Ensemble,angry
785,Metallica,Crash Course In Brain Surgery,angry
786,Monchy & Alexandra,Hasta El Fin,sad
787,Patrulla 81,Como Me Haces Falta,sad
788,Aliados De La Sierra,Te Amo,sad
789,Los Rieleros Del Norte,Un Juego,sad
790,Conjunto Primavera,El Amor Que Nunca Fue,sad
791,Luther Vandross,Anyone Who Had A Heart,happy
792,New Edition,Candy Girl,relaxed
793,Tower Of Power,Give Me Your Love,happy
794,Joan Osborne,War,angry
795,Jimmy Smith,Strut ,relaxed
796,"Harry Connick, Jr.",My Blue Heaven,relaxed
797,The Brian Setzer Orchestra,The Dirty Boogie,sad
798,Joni Mitchell,Sometimes I'm Happy,happy
799,Jimmy Smith,I Just Wanna Make Love To You ,happy
800,The Naked And Famous,All Of This,sad
801,The Jesus & Mary Chain,Just Like Honey,relaxed
802,Destructor,Skull Splitter,sad
803,Noah And The Whale,Give A Little Love,happy
804,Grizzly Bear,Lullabye,relaxed
805,Best Coast,Honey,relaxed
806,Warpaint,Composure,sad
807,Sly & The Family Stone,Family Affair,relaxed
808,Gliss,Morning Light,happy
809,Kaiser Chiefs,I Predict A Riot,angry
810,Buzzcocks,Ever Fallen In Love?,happy
811,Jay Reatard,DOA,happy
812,OFF!,Upside Down,sad
813,The Jesus & Mary Chain,The Hardest Walk,sad
814,Fang Island,The Illinois,relaxed
815,The Decemberists,This Is Why We Fight,angry
816,No Age,Life Prowler,happy
817,Someone Still Loves You Boris Yeltsin,Everlyn,sad
818,Billie Holiday,There Is No Greater Love,happy
819,Louis Armstrong,Stormy Weather,sad
820,Chevelle,Vitamin R ,angry
821,Deftones,Bored,sad
822,Muse,Knights Of Cydonia,angry
823,Bebel Gilberto,Aganju,sad
824,Peter Gabriel,Digging In The Dirt,sad
825,KMFDM,WWIII,angry
826,Michael Bolton,Said I Loved You...But I Lied,happy
827,England Dan & John Ford Coley,It's Sad To Belong,sad
828,Queen Latifah,What Love Has Joined Together,happy
829,Roberta Flack,Set The Night To Music ,relaxed
830,Otis Redding,Respect,relaxed
831,"Emerson, Lake & Palmer",From The Beginning,sad
832,Roisin Murphy,Let Me Know,sad
833,Elton John,Sad Songs ,sad
834,Sarah Vaughan,You're Not The Kind,relaxed
835,Alan Jackson,A Woman's Love,happy
836,Dean Martin,Innamorata,happy
837,Fine Young Cannibals,Ever Fallen In Love,happy
838,LeAnn Rimes,God Bless America,relaxed
839,Diana Krall,Little Girl Blue,relaxed
840,Billie Holiday,Did I Remember?,angry
841,Billie Holiday,The Very Thought Of You,relaxed
842,"Hamilton, Joe Frank & Reynolds",Fallin' In Love,happy
843,Mary J. Blige,Real Love ,happy
844,Trivium,Shattering The Skies Above,angry
845,Jarabe De Palo,El Lado Oscuro,sad
846,Ricardo Arjona,Pinguinos En La Cama,sad
847,The Oak Ridge Boys,Fancy Free,relaxed
848,Bobby Bare,500 Miles Away From Home,relaxed
849,Willie Nelson,Let It Be Me,happy
850,Willie Nelson,Blue Skies,relaxed
851,Ronnie Milsap,"Happy, Happy Birthday Baby",happy
852,Dolly Parton,Think About Love,happy
853,Marty Robbins,Big Iron,sad
854,Faron Young,Hello Walls,sad
855,Billy Swan,I Can Help,relaxed
856,Frank Sinatra,Nice Work If You Can Get It,relaxed
857,The Red Hot Chili Peppers,Fortune Faded,sad
858,Taddy Porter,Shake Me,sad
859,Rob Zombie,Sick Bubble-Gum,sad
860,Egypt Central,You Make Me Sick,sad
861,Juelz Santana,There It Go ,relaxed
862,Skindred,Pressure,angry
863,The Wannadies,Skin,happy
864,Vanessa Williams,My Flame,happy
865,Paula Abdul,The Way That You Love Me,happy
866,My Morning Jacket,Circuital,sad
867,The Beatles,Yer Blues,sad
868,George Harrison,Isn't It A Pity,sad
869,Arthur Brown,Fire,angry
870,J Boog,Let's Do It Again ,relaxed
871,Kapena,Masese,sad
872,Pat Benatar,Fire And Ice,angry
873,The Four Tops,When She Was My Girl,relaxed
874,The Honey Drippers,Sea Of Love,happy
875,Emmylou Harris,Home Sweet Home,relaxed
876,Toots & The Maytals,Pressure Drop,angry
877,James Blake,Lindisfarne I,sad
878,Dan Deacon,Wet Wings,sad
879,Jane Monheit,Save Your Love For Me,happy
880,Foster The People,Warrant,angry
881,Jens Lekman,I'm Leaving You Because I Don't Love You,happy
882,Bill Callahan,Sycamore,angry
883,Wye Oak,Civilian,relaxed
884,The Doors,The Spy,angry
885,Slayer,Cult,angry
886,Dirge Within,Self Medicate,angry
887,Atreyu,Ex's And Oh's,sad
888,Donnie McClurkin,When You Love ,happy
889,Anita Baker,You Bring Me Joy,happy
890,Anita Baker,Good Love,happy
891,Adele,Love Song,happy
892,Adelitas Way,Sick,sad
893,Sick Puppies,War,angry
894,Red,Feed The Machine,sad
895,Metallica,Metal Militia,sad
896,Cold,Wicked World,angry
897,Anthrax,Among The Living,angry
898,Blackguard,Firefight,angry
899,Katy Perry,E.T. ,angry
900,The Stylistics,You're A Big Girl Now,relaxed
901,Kid Rock,Collide ,angry
902,Millie Small,My Boy Lollipop,happy
903,The Rolling Stones,We Love You,happy
904,Bob Marley & The Wailers,War,angry
905,Gene Pitney,Only Love Can Break A Heart,happy
906,John Hiatt,What Kind Of Man,relaxed
907,Joan Armatrading,This Charming Life,happy
908,The Isley Brothers,Fight The Power Part 1,angry
909,War,Me And Baby Brother,relaxed
910,Eskmo,Color Dropping,relaxed
911,Chris Tomlin,Our God,happy
912,Celine Dion,God Bless America,relaxed
913,Lincoln Brewster,All I Really Want,happy
914,Jose Jose,O Tu O Yo,sad
915,Joe Cocker,You Are So Beautiful,happy
916,Cassandra Wilson,Blue Skies,relaxed
917,Roy Milton,Thrill Me,happy
918,Billie Holiday,Nice Work If You Can Get It,relaxed
919,Delirious?,Stronger,happy
920,Ready For The World,Love You Down,happy
921,New Edition,I'm Still In Love With You,happy
922,Frederick Knight,I've Been Lonely For So Long,sad
923,Wilson Pickett,Don't Let The Green Grass Fool You,relaxed
924,Jill Scott,So In Love ,happy
925,Johnny Gill,In The Mood,relaxed
926,One Way,Cutie Pie,relaxed
927,Elvis Presley,Heartbreak Hotel,sad
928,The Platters,I Love You 1000 Times,happy
929,Bo Diddley,Bo Diddley,relaxed
930,Brenton Wood,Gimme Little Sign,relaxed
931,Barry Manilow,Can't Smile Without You,sad
932,Shenandoah,Rock My Baby,relaxed
933,Hank Snow,Hello Love,happy
934,Zebra,One More Chance,happy
935,Sammy Hagar,Baby's On Fire,angry
936,Tony Carey,I Won't Be Home Tonight,relaxed
937,Whitesnake,Love Ain't No Stranger,happy
938,Muse,Stockholm Syndrome,angry
939,Jose Alfredo Jimenez,El Rey,sad
940,Los Alegres De Teran,Hermosisimo Lucero,sad
941,Nice & Wild,Diamond Girl,relaxed
942,The Cult,Sun King,relaxed
943,Sammy Kershaw,Love Of My Life,happy
944,Craig Morgan,God Must Really Love Me,happy
945,Alan Jackson,Ring Of Fire,angry
946,David Kersh,Goodnight Sweetheart,relaxed
947,Robert Earl Keen,Something I Do,relaxed
948,Willie Nelson,Uncloudy Day,relaxed
949,Ryan Adams,To Be Young ,sad
950,Reckless Kelly,Some People's Kids,angry
951,Praise Band,Awesome God,happy
952,Phish,Free,relaxed
953,Christine McVie,Got A Hold On Me,happy
954,Chic,I Want Your Love,happy
955,Don Henley,Sunset Grill,relaxed
956,Underoath,A Boy Brushed Red Living In Black And White,angry
957,Vreid,Disciplined,angry
958,Belphegor,Blood Magick Necromance,angry
959,Murder By Death,Comin' Home,relaxed
960,My Darkest Days,Move Your Body,angry
961,Akon,Lonely,sad
962,Conjunto Primavera,Fue Un Placer Amarte,sad
963,Terri Clark,I Just Wanna  Be Mad,angry
964,Built To Spill,Goin' Against Your Mind,relaxed
965,Bo Diddley,Bring It To Jerome,relaxed
966,Jane Monheit,I'm Glad There Is You,happy
967,Ann Hampton Callaway,What Is This Thing Called Love?,happy
968,B.B. King,Don't Answer The Door,relaxed
969,James Hunter,No Smoke Without Fire,angry
970,Melody Gardot,Over The Rainbow,relaxed
971,Stevie Wonder,For Your Love,happy
972,Simon & Garfunkel,Homeward Bound,relaxed
973,Wadsworth Mansion,Sweet Mary,relaxed
974,Bayside,"Sick, Sick, Sick",sad
975,"Does It Offend You, Yeah?",The Monkeys Are Coming,angry
976,Rosie & The Originals,Angel Baby,happy
977,Maze,Happy Feelin's ,happy
978,Zoe,Love,happy
979,Young Galaxy,The Angels Are Surely Weeping,sad
980,PJ Harvey,This Mess We're In,relaxed
981,Kylesa,Dust,sad
982,Silversun Pickups,Waste It On,sad
983,Oh Land,White Nights,relaxed
984,The Beatles,And I Love Her,happy
985,Serge Gainsbourg,Requiem Pour Un C...,sad
986,Bebel Gilberto,Aganju,sad
987,The Dramatics,Get Up And Get Down,sad
988,Tinsley Ellis,Speak No Evil,angry
989,Kurt Elling,Matte Kudasai,sad
990,Merle Haggard,Going Where The Lonely Go,sad
991,Johnny Cash,Rusty Cage,sad
992,Green Day,Sassafrass Roots,sad
993,Judas Priest,Painkiller,angry
994,Mr. Big,Addicted To That Rush,sad
995,The Rolling Stones,Hang Fire,angry
996,Jack Johnson,From The Clouds,relaxed
997,Robbie Robertson,He Don't Live Here No More,sad
998,Stereophonics,Maybe Tomorrow,relaxed
999,The Police,So Lonely,sad
1000,Rockpile,Teacher Teacher,relaxed
1001,Air,Cherry Blossom Girl,relaxed
1002,Los Lobos,Come On Let's Go,happy
1003,Damien Rice,The Blowers Daughter,relaxed
1004,Byron Cage,It Is To You,relaxed
1005,Will Downing,Lover's Melody ,relaxed
1006,Mary J. Blige,I Can See In Color,relaxed
1007,Hezekiah Walker & The Love Fellowship Crusade Choir,Power Belongs To God,happy
1008,Donald Byrd,Think Twice,happy
1009,The Meters,Fire On The Bayou,angry
1010,Inner City,Good Life,happy
1011,La Ley,Aqui,sad
1012,Ednita Nazario,Sobrevivo,sad
1013,Fats Domino,All By Myself,happy
1014,Al Green,You've Got The Love I Need ,happy
1015,Patrice Rushen,Settle For My Love,happy
1016,K-Paz De La Sierra,Volvere,sad
1017,Ricardo Montaner,Tan Enamorados,sad
1018,RBD,Nuestro Amor,sad
1019,Belinda,Bella Traicion,sad
1020,Braids,Lemonade,sad
1021,The Stooges,No Fun,happy
1022,Sonic Youth,Reena,relaxed
1023,Fatboy Slim,Everybody Needs A 303,happy
1024,Metric,On The Sly,angry
1025,Warpaint,Set Your Arms Down,angry
1026,White Fence,Harness,relaxed
1027,Bloc Party,Like Eating Glass,sad
1028,Smith Westerns,Fallen In Love,relaxed
1029,Tokyo Police Club,Big Difference,sad
1030,Love Is All,Make Out Fall Out Make Up,sad
1031,Tony Bennett,Because Of You,happy
1032,Billie Holiday,Summertime,relaxed
1033,The Red Hot Chili Peppers,Blood Sugar Sex Magik,happy
1034,Warrant,Sometimes She Cries,sad
1035,Enya,Amarantine,happy
1036,Andy Andy,Que Ironia,sad
1037,Victor Manuelle,Asi Es La Mujer,sad
1038,Motley Crue,Louder Than Hell,angry
1039,New Order,Shellshock,angry
1040,The Beatles,I Should Have Known Better,happy
1041,Roger Daltrey,Without Your Love,happy
1042,David Lee Roth,Just Like Paradise,relaxed
1043,Ohio Express,Yummy Yummy Yummy,happy
1044,Small Faces,Itchycoo Park,happy
1045,The Supremes,Baby Love,happy
1046,"Blood, Sweat & Tears",You've Made Me So Very Happy,happy
1047,Olivia Newton-John,I Honestly Love You,happy
1048,The Ronettes,"Baby, I Love You",happy
1049,Van Morrison,Crazy Love,happy
1050,The Rascals,People Got To Be Free,relaxed
1051,Eddie Holman,Hey There Lonely Girl,sad
1052,The Cowsills,"The Rain, The Park And Other Things",relaxed
1053,The Bee Gees,Tragedy,angry
1054,The Beatles,Love Me Do,happy
1055,Wayne Fontana & The Mindbenders,The Game Of Love,happy
1056,Otis Redding,That's How Strong My Love Is,happy
1057,The Whispers,It's A Love Thing,happy
1058,Laura Izibor,From My Heart To Yours,happy
1059,Rufus & Chaka Khan,Do You Love What You Feel,happy
1060,Loose Ends,Slow Down,sad
1061,Ann Nesby,Put It On Paper ,sad
1062,Anthony Hamilton,The Point Of It All,happy
1063,Donny Hathaway,I Love You More Than You'll Ever Know,happy
1064,Jerzee Monet,Most High,relaxed
1065,Boney James,Don't Let Me Be Lonely Tonight ,sad
1066,Karyn White,Love Saw It ,happy
1067,Teena Marie,Portuguese Love,happy
1068,Lisa Fischer,How Can I Ease The Pain,angry
1069,Dave Hollister,Take Care Of Home,relaxed
1070,Gotan Project,Amor Porteno ,sad
1071,The Infamous Stringdusters,Starry Night,relaxed
1072,Skeletonwitch,Upon Wings Of Black,angry
1073,Hatebreed,Destroy Everything,angry
1074,Lamb Of God,Black Label,angry
1075,Metallica,St. Anger,angry
1076,Whitney Houston,All The Man That I Need,happy
1077,Patti LaBelle,Kiss Away The Pain,angry
1078,Johnny Hartman,The Very Thought Of You,relaxed
1079,The Radio Dept.,Heaven's On Fire,angry
1080,Baths,Maximalist,happy
1081,Lucinda Williams,Born To Be Loved,happy
1082,Daft Punk,Make Love,happy
1083,New Order,Age Of Consent,angry
1084,Roy Orbison,Candy Man,relaxed
1085,El Guincho,Lycra Mistral,sad
1086,The Hundred In The Hands,Dead Ending,sad
1087,Yeah Yeah Yeahs,Maps,happy
1088,Ed Bruce,The Last Cowboy Song,sad
1089,Crystal Gayle,A Long And Lasting Love,happy
1090,Pat Benatar,We Live For Love,happy
1091,Boz Scaggs,Breakdown Dead Ahead,angry
1092,The Raveonettes,War In Heaven,angry
1093,Stateless,Assassinations,sad
1094,Me'Shell Ndegeocello,Love You Down,happy
1095,Gorillaz,Broken,angry
1096,Vivian Girls,I Heard You Say,sad
1097,Franz Ferdinand,Do You Want To,happy
1098,UNKLE,Hold My Hand,sad
1099,36 Crazyfists,The All Night Lights,sad
1100,The Devil Wears Prada,Dez Moines,sad
1101,Alabama,Sad Lookin' Moon,sad
1102,Rufus & Chaka Khan,Everlasting Love,happy
1103,Mr. Capone-E,Light My Fire ,angry
1104,Raheem DeVaughn,I Don't Care,angry
1105,Herb Alpert & The Tijuana Brass,A Taste Of Honey,relaxed
1106,Gretchen Parlato,Blue In Green,relaxed
1107,Gucci Mane,I Don't Love Her ,happy
1108,Keri Hilson,Make Love,happy
1109,Chris Brown,Beautiful People ,happy
1110,Jeremy Camp,You Never Let Go,angry
1111,Rocio Durcal,No Sirvo Para Estar Sin Ti,sad
1112,Albert Hammond,Echame A Mi La Culpa,sad
1113,Banda El Recodo,Tiro Arriba,sad
1114,Roberta Gambarini,From This Moment On,relaxed
1115,Back Door Slam,Come Home,relaxed
1116,Immature,Never Lie,angry
1117,The Everly Brothers,When Will I Be Loved,happy
1118,Enanitos Verdes,Mejor No Hablemos De Amor,sad
1119,The Herbaliser,Gadget Funk,angry
1120,The Drums,I Need Fun In My Life,happy
1121,Michael Franti & Spearhead,Light Up Ya Lighter,angry
1122,Mission Of Burma,That's How I Escaped My Certain Fate,sad
1123,Frank Sinatra,My Kind Of Town,relaxed
1124,Loreena McKennitt,Down By The Sally Gardens,relaxed
1125,Sin Fang,Always Everything,sad
1126,Fischerspooner,Happy,sad
1127,Craig Morgan,I Got You,relaxed
1128,Willie Nelson & Leon Russell,Heartbreak Hotel,sad
1129,Son Volt,Drown,angry
1130,Faith No More,War Pigs,angry
1131,Whitney Houston,Miracle,happy
1132,Drive-By Truckers,Everybody Needs Love,happy
1133,Sarah McLachlan,Into The Fire,angry
1134,Florence & The Machine,You've Got The Love,happy
1135,Culture Club,It's A Miracle,happy
1136,Elbow,With Love,happy
1137,Graham Parker,White Honey,relaxed
1138,Beck,Lost Cause,angry
1139,Dianne Reeves,Love For Sale,happy
1140,Melba Moore,Time To Come Home ,relaxed
1141,Incognito,Your Sun My Sky ,relaxed
1142,Gloria Trevi,Me Rio De Ti,sad
1143,Soraya,Llevame,sad
1144,Bury Your Dead,Twelfth Stroke Of Midnight,sad
1145,Roy Orbison,Only The Lonely ,sad
1146,Roy Orbison,Running Scared,angry
1147,Banda Maguey,Que Sacrificio,sad
1148,Alejandro Fernandez,Si He Sabido Amor,sad
1149,Martha Munizzi,Mighty God,happy
1150,Fred Hammond,Keep On Praisin',relaxed
1151,Kirk Franklin,Afterwhile ,angry
1152,Phil Perry,The World Is A Ghetto,relaxed
1153,Expatriate,Gotta Get Home,relaxed
1154,Boney James,I Get Lonely,sad
1155,Billy Corgan,A100,happy
1156,Patty Griffin,Rowing Song,sad
1157,Gyptian,So Much In Love,happy
1158,Tito Nieves,Mi Eterno Amor Secreto,sad
1159,Grupo Niche,Gotas De Lluvia,sad
1160,Billie Holiday,Prelude To A Kiss,happy
1161,Barbara Lewis,Make Me Your Baby,happy
1162,Brook Benton,Lie To Me,angry
1163,Roomful Of Blues,That's A Pretty Good Love,happy
1164,The Beatles,I Want You ,angry
1165,Paul McCartney & Wings,Helen Wheels,sad
1166,The Doors,Waiting For The Sun,relaxed
1167,Elvis Presley,Heartbreak Hotel,sad
1168,Herman's Hermits,Listen People,happy
1169,Peter & Gordon,True Love Ways,happy
1170,Donovan,Wear Your Love Like Heaven,happy
1171,The Hollies,The Air That I Breathe,relaxed
1172,Gene Vincent & His Blue Caps,Be-Bop-A-Lula,relaxed
1173,Ruby & The Romantics,Our Day Will Come,happy
1174,Maze,We Are One ,happy
1175,Con Funk Shun,Ffun,happy
1176,Angela Winbush,Angel,relaxed
1177,Charlie Wilson,Without You,relaxed
1178,Jazmine Sullivan,Fear,angry
1179,Big Head Blues Club,Kind Hearted Woman,happy
1180,James Brown,I'll Go Crazy,happy
1181,Lucinda Williams,Joy,happy
1182,Willie Nelson,Night Life ,happy
1183,Max Romeo & The Upsetters,War Ina Babylon,angry
1184,Freddie Hubbard,Red Clay,happy
1185,Static-X,Bled For Days,angry
1186,Hatebreed,Ghosts Of War,angry
1187,Howlin' Wolf,Shake For Me,relaxed
1188,"Earth, Wind & Fire",Evil,angry
1189,Della Reese,Don't You Know,happy
1190,James Taylor,Don't Let Me Be Lonely Tonight,sad
1191,Rob Zombie,Demon Speeding,angry
1192,Motorhead,The Game,angry
1193,Marc Anthony,Viviendo,sad
1194,Jo Dee Messina,Because You Love Me,happy
1195,Bad Religion,The Biggest Killer In American History,angry
1196,The Clash,Tommy Gun,angry
1197,Dio,Stand Up And Shout,angry
1198,Kirk Franklin & The Family,Now Behold The Lamb,relaxed
1199,Tye Tribbett & G.A.,Still Have Joy,happy
1200,Sarah Vaughan,Fever,sad
1201,Pendulum,Out Here,sad
1202,Bettye LaVette,It Don't Come Easy,relaxed
1203,Desperation Band,The Difference,happy
1204,Chelley,Took The Night,angry
1205,Jose Feliciano,Feliz Navidad,happy
1206,Johnny O.,Fantasy Girl,relaxed
1207,Sonora Santanera,Donde Estas Yolanda,sad
1208,Andy Palacio & The Garifuna Collective,Baba ,sad
1209,Harlem,Spray Paint,relaxed
1210,Fleet Foxes,Sun It Rises,relaxed
1211,Nellie McKay,The Very Thought Of You,relaxed
1212,The Album Leaf,Falling From The Sun,sad
1213,Nellie McKay,Mother Of Pearl,angry
1214,Steel Pulse,Blazing Fire ,angry
1215,Michael Franti & Spearhead,All I Want Is You,happy
1216,Broken Bells,Sailing To Nowhere,sad
1217,G. Love & Special Sauce,"Peace, Love & Happiness",relaxed
1218,Ed Bruce,You're The Best Break This Old Heart Ever Had,happy
1219,La Mafia,Quiero Amanecer Contigo,sad
1220,Conjunto Primavera,No Se Vivir Sin Ti,sad
1221,Palomo,Nos Falto,sad
1222,Dokken,Into The Fire,angry
1223,Kreator,Warcurse,angry
1224,Delirious?,I Could Sing Of Your Love Forever,happy
1225,Culture Club,The War Song,angry
1226,Skillet,The Last Night,sad
1227,Third Day,Silent Night,relaxed
1228,Elvis Presley,Blue Christmas,relaxed
1229,The Carpenters,"Merry Christmas, Darling",happy
1230,Kenny Loggins,Celebrate Me Home,relaxed
1231,Casting Crowns,I Heard The Bells On Christmas Day,relaxed
1232,Third Day,Joy To The World,happy
1233,Vince Vance & The Valiants,All I Want For Christmas Is You,relaxed
1234,Kelley Stoltz,Fire Escape,angry
1235,George Harrison,I Dig Love,happy
1236,Kirk Franklin & The Family,Silent Night,relaxed
1237,Boyz II Men,Silent Night,relaxed
1238,Israel Houghton,I Receive,happy
1239,Sharon Jones & The Dap-Kings,Be Easy,relaxed
1240,Israel Houghton,Others,happy
1241,Incognito,Feel The Pressure,angry
1242,Alejandro Sanz,Cuando Nadie Me Ve,sad
1243,Elvis Costello,I Lost You,angry
1244,The Replacements,Skyway,sad
1245,Vampire Weekend,Mansard Roof,sad
1246,Grant-Lee Phillips,It Ain't The Same Old Cold War Harry,angry
1247,The Who,I'm Free,relaxed
1248,The Flaming Lips,Yoshimi Battles The Pink Robots,angry
1249,U2,I Fall Down,sad
1250,Jason Collett,I'll Bring The Sun,relaxed
1251,Bruce Springsteen,Fire,angry
1252,Andrew Bird,Plasticities,angry
1253,Lori McKenna,Pour,relaxed
1254,Alaska Y Dinarama,Ni Tu Ni Nadie,sad
1255,Marvin Gaye,You Sure Love To Ball,happy
1256,The Chi-Lites,Toby,sad
1257,Luther Vandross,At Christmas Time,happy
1258,Frank Sinatra,It Gets Lonely Early,sad
1259,John Pizzarelli,Mountain Greenery,relaxed
1260,The Brooklyn Tabernacle Choir,Happy Birthday Jesus,happy
1261,Rebecca St. James,Happy Xmas ,happy
1262,Matt Brouwer,Have Yourself A Merry Little Christmas,happy
1263,Jars Of Clay,Love Came Down at Christmas,happy
1264,MercyMe,Joseph's Lullaby,relaxed
1265,Third Day,Merry Christmas,happy
1266,Frank Reyes,Por Ti Voy A Morir,sad
1267,Rod Stewart,What A Wonderful World ,relaxed
1268,Judas Priest,Metal Gods,sad
1269,Alejandro Escovedo,Silver Cloud,happy
1270,The Beatles,Two Of Us,relaxed
1271,Mnemic,Within,angry
1272,Godsmack,Running Blind ,sad
1273,Teddy Pendergrass,Joy,happy
1274,Eva Cassidy,Time After Time,sad
1275,Courtney John,Lucky Man,happy
1276,Maysa,A Woman In Love,happy
1277,Michael Buble,Dream,relaxed
1278,Alejandra Guzman,Hasta El Final,sad
1279,The Prodigy,Shoot Down,angry
1280,Joy Division,Heart And Soul,angry
1281,Wire,Reuters,angry
1282,Junior Boys,Teach Me How To Fight,angry
1283,John Mayer,Slow Dancing In A Burning Room,sad
